Date	Ticker	Open	High	Low	Close	Volume
1994-06-24	8488	16.80	16.80	16.75	16.75	2000
1994-06-24	8497	47.05	47.75	47.05	47.75	21000
1994-06-24	8499	89.10	92.00	88.90	90.90	266065
1994-06-24	8926	25.45	25.50	25.25	25.25	780976
1994-06-24	8940	12.55	12.55	12.55	12.55	5001
1994-06-24	8996	37.80	38.00	37.60	37.60	55010
1994-06-24	9103	1.22	1.22	1.19	1.20	230000
1994-06-24	910322	20.80	21.00	20.75	20.85	11000
1994-06-24	910482	0.31	0.34	0.31	0.33	180193
1994-06-24	9105	2.46	2.47	2.45	2.46	929811
1994-06-24	910708	2020.00	2020.00	2020.00	2020.00	1000
1994-06-24	9110	2.55	2.55	2.40	2.50	104000
1994-06-24	911608	1.36	1.49	1.36	1.38	42000
1994-06-24	911616	1.05	1.05	0.99	1.00	26000
1994-06-24	911868	1.26	1.26	1.26	1.26	1000
1994-06-24	912000	2.28	2.28	2.28	2.28	3000
1994-06-24	9136	8.50	8.50	8.36	8.36	666000
1994-06-24	9157	0.76	0.81	0.76	0.81	21000
1994-06-24	9802	48.60	49.50	48.50	48.80	126000
1994-06-24	9902	9.12	9.12	9.00	9.12	89764
1994-06-24	9904	32.20	32.75	31.90	32.60	6853976
1994-06-24	9905	24.30	24.35	24.20	24.20	60068
1994-06-24	9906	11.90	13.00	11.90	12.35	754033
1994-06-24	9907	12.40	12.40	12.25	12.25	624750
1994-06-24	9908	29.10	29.10	28.70	28.90	333153
1994-06-24	9910	179.00	180.50	175.00	176.50	1329250
1994-06-24	9911	35.50	35.65	35.50	35.55	297257
1994-06-24	9912	9.47	9.47	9.23	9.26	43100
1994-06-24	9914	137.00	137.00	134.50	136.00	587260
1994-06-24	9917	86.00	86.10	85.10	85.10	356940
1994-06-24	9918	32.90	32.90	32.90	32.90	6748
1994-06-24	9919	10.40	10.60	10.40	10.60	378302
1994-06-24	9921	145.00	145.00	140.00	140.50	2283200
1994-06-24	9924	34.70	34.95	34.55	34.95	101558
1994-06-24	9925	35.80	36.15	35.50	36.10	149259
1994-06-24	9926	39.90	39.90	39.90	39.90	3000
1994-06-24	9927	30.70	30.70	30.30	30.40	83000
