Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,MaxOIStrikePut,MaxOIPut,TotalOIPut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2022-01-07,發行量加權股價指數,18367.92,18444.12,18134.41,18169.76,,,,202201W2,18500.0,23252.0,156982.0,18000.0,17682.0,104202.0,0.0,52610.0,14550.0,0.51,0.35,,-0.02,0.01
2022-01-10,發行量加權股價指數,18169.76,18243.26,18043.97,18239.38,C > O,C > O,Earned,202201W2,18500.0,25296.0,167400.0,18000.0,21790.0,138314.0,0.0,10418.0,34112.0,0.21,-0.30000000000000004,1.0,-0.01,0.01
2022-01-11,發行量加權股價指數,18239.38,18293.53,18135.43,18288.21,C < O,C > O,Earned,202201W2,18400.0,31226.0,203186.0,18000.0,25498.0,173746.0,0.0,35786.0,35432.0,0.17,-0.03999999999999998,0.0,-0.01,0.02
2022-01-12,發行量加權股價指數,18288.21,18394.7,18255.38,18375.4,,,,202201,19000.0,28672.0,191366.0,18000.0,19742.0,144574.0,0.0,-11820.0,-29172.0,0.32,0.15,,-0.03,0.02
2022-01-13,發行量加權股價指數,18375.4,18459.73,18346.81,18436.93,,,,202201,19000.0,39354.0,221538.0,18000.0,24946.0,183826.0,0.0,30172.0,39252.0,0.21,-0.11000000000000001,,-0.03,0.02
2022-01-14,發行量加權股價指數,18436.93,18509.0,18213.44,18403.33,C < O,C < O,Earned,202201,19000.0,51404.0,277530.0,18000.0,30380.0,199350.0,0.0,55992.0,15524.0,0.39,0.18000000000000002,1.0,-0.03,0.02
2022-01-17,發行量加權股價指數,18403.33,18535.42,18403.33,18525.44,C > O,C > O,Earned,202201,19000.0,49886.0,277784.0,18300.0,31466.0,220150.0,0.0,254.0,20800.0,0.26,-0.13,1.0,-0.02,0.01
2022-01-18,發行量加權股價指數,18525.44,18575.41,18378.64,18378.64,C < O,C < O,Earned,202201,19000.0,48844.0,283936.0,18300.0,31308.0,211252.0,0.0,6152.0,-8898.0,0.34,0.08000000000000002,1.0,-0.03,0.0
2022-01-19,發行量加權股價指數,18378.64,18378.64,18199.35,18227.46,,,,202201W4,18600.0,8592.0,50598.0,17500.0,4992.0,37870.0,0.0,-233338.0,-173382.0,0.34,0.0,,-0.02,0.04
2022-01-20,發行量加權股價指數,18227.46,18292.14,18125.2,18218.28,,,,202201W4,18600.0,23124.0,110800.0,17600.0,17830.0,112054.0,0.0,60202.0,74184.0,-0.01,-0.35000000000000003,,-0.02,0.04
