Date,IndexName,Open,High,Low,Close,Prediction,Realized,Profitable,TTM,MaxOIStrikeCall,MaxOICall,TotalOICall,VWStrikeCall,MaxOIStrikePut,MaxOIPut,TotalOIPut,VWStrikePut,IsTTM,OICallDiff,OIPutDiff,OI_Ratio,OI_Ratio_diff,Match,MoneylessCall,MoneylessPut
2021-07-26,發行量加權股價指數,17572.92,17637.36,17403.56,17403.56,C > O,C < O,Earned,202108,18000.0,12498.0,88128.0,18211.471949891067,17000.0,11210.0,60908.0,16613.105010836014,0.0,10910.0,2164.0,0.45,0.14,0.0,-0.03,0.02
2021-07-27,發行量加權股價指數,17403.56,17459.35,17264.5,17269.87,C > O,C < O,Earned,202108,18000.0,13512.0,92918.0,18194.181966895543,17000.0,11138.0,63730.0,16588.636434959986,0.0,4790.0,2822.0,0.46,0.010000000000000009,0.0,-0.04,0.02
2021-07-28,發行量加權股價指數,17269.87,17269.87,16893.7,17135.22,C > O,C < O,,202108,18000.0,14310.0,98940.0,18190.608449565392,16000.0,9506.0,68936.0,16195.152025066729,0.0,6022.0,5206.0,0.44,-0.020000000000000018,0.0,-0.05,0.07
2021-07-29,發行量加權股價指數,17135.22,17402.81,17135.22,17402.81,C > O,C > O,Earned,202108,18000.0,13486.0,98848.0,18173.575590806086,16000.0,12330.0,78696.0,16449.405306495883,0.0,-92.0,9760.0,0.26,-0.18,1.0,-0.03,0.09
2021-07-30,發行量加權股價指數,17402.81,17429.01,17237.67,17247.41,,,,202108,18000.0,14414.0,102628.0,18096.042015824143,16000.0,12732.0,84380.0,16481.832187722208,0.0,3780.0,5684.0,0.22,-0.04000000000000001,,-0.04,0.08
2021-08-02,發行量加權股價指數,17247.41,17503.28,17231.22,17503.28,C < O,C > O,,202108,18000.0,13702.0,102438.0,18164.864601026962,17000.0,14746.0,91952.0,16543.890290586394,0.0,-190.0,7572.0,0.11,-0.11,0.0,-0.03,0.03
2021-08-03,發行量加權股價指數,17503.28,17553.76,17456.2,17553.76,,,,202108,18000.0,14590.0,107206.0,18140.04066936552,17000.0,16102.0,97186.0,16564.90029428107,0.0,4768.0,5234.0,0.1,-0.009999999999999995,,-0.02,0.03
2021-08-04,發行量加權股價指數,17553.76,17636.11,17553.76,17623.89,C < O,C > O,,202108,18000.0,14516.0,109120.0,18139.640762463343,17000.0,18120.0,101384.0,16671.06841316184,0.0,1914.0,4198.0,0.08,-0.020000000000000004,0.0,-0.02,0.04
2021-08-05,發行量加權股價指數,17623.89,17643.97,17566.72,17603.12,C < O,C < O,Earned,202108,18000.0,15120.0,111888.0,18136.843986843985,17000.0,17598.0,103220.0,16676.96764192986,0.0,2768.0,1836.0,0.08,0.0,1.0,-0.02,0.04
2021-08-06,發行量加權股價指數,17603.12,17603.12,17469.68,17526.28,C > O,C < O,,202108,18000.0,16276.0,117532.0,18122.747847394752,17000.0,16098.0,109786.0,16585.054560690798,0.0,5644.0,6566.0,0.07,-0.009999999999999995,0.0,-0.03,0.03
