代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2340,3162,11138,23,11,34,67.65,0.021547058823529416,23.61764705882353
2342,2638,4992,20,14,34,58.82,0.013247058823529414,15.882352941176471
2344,1868,-3798,12,14,26,46.15,-0.021288461538461537,17.5
2345,6658,11452,17,10,27,62.96,0.03435185185185185,37.925925925925924
2347,5901,2099,13,10,23,56.52,0.00987391304347826,67.0
2348,2652,16098,12,6,18,66.67,0.03832222222222223,16.77777777777778
2349,2147,-1697,20,15,35,57.14,0.0059285714285714315,33.457142857142856
2351,6061,15139,16,13,29,55.17,0.010555172413793102,24.620689655172413
2352,3468,5982,18,11,29,62.07,0.012251724137931037,28.0
2353,6534,-60834,13,22,35,37.14,-0.021522857142857142,33.25714285714286
2354,14554,46046,16,11,27,59.26,0.009025925925925927,43.2962962962963
2355,4812,-19212,11,14,25,44.0,-0.024628000000000004,39.76
2356,2487,2563,13,10,23,56.52,0.008113043478260867,69.69565217391305
2357,16547,-54097,7,9,16,43.75,-0.019025,51.0
2358,2824,-5324,16,20,36,44.44,-0.014738888888888892,22.52777777777778
2359,2521,6559,21,10,31,67.74,0.022361290322580635,27.322580645161292
2360,6962,31988,12,7,19,63.16,0.016626315789473677,30.0
2362,4560,-10510,14,9,23,60.87,0.0011434782608695682,40.56521739130435
2363,3033,3397,24,14,38,63.16,0.017892105263157886,28.657894736842106
2364,1530,5530,20,9,29,68.97,0.03885517241379311,15.586206896551724
2365,4154,-20164,16,16,32,50.0,-0.010253124999999998,46.625
2367,2684,11786,19,10,29,65.52,0.03453448275862069,25.93103448275862
2368,2282,1858,15,11,26,57.69,-0.0009923076923076947,17.5
2369,2746,-886,20,15,35,57.14,0.005114285714285714,33.65714285714286
2371,1882,2678,15,11,26,57.69,0.007734615384615385,26.26923076923077
2373,4813,36787,10,7,17,58.82,0.04391764705882353,116.3529411764706
2374,4126,-28426,12,17,29,41.38,-0.028524137931034484,41.44827586206897
2375,3137,-32617,15,17,32,46.88,-0.022759375,22.40625
2376,5739,-13539,12,13,25,48.0,-0.00958,38.28
2377,6440,26160,20,10,30,66.67,0.02544666666666667,36.6
2379,16876,-70526,16,10,26,61.54,0.019365384615384614,23.884615384615383
2380,2647,-9057,12,18,30,40.0,-0.020466666666666668,33.96666666666667
2382,9064,16286,16,10,26,61.54,0.01878846153846154,46.61538461538461
