代號,總成本,總損益(淨),獲利次數,損失次數,總交易次數,勝率%,平均報酬,平均持倉時間(日)
2344,5555,3795,28,23,51,54.9,0.010080392156862747,31.03921568627451
2345,44542,214058,33,17,50,66.0,0.027261999999999998,29.78
2347,6100,7650,13,10,23,56.52,0.012747826086956522,106.78260869565217
2348,13926,-41476,20,24,44,45.45,-0.007606818181818182,44.06818181818182
2349,2970,-970,25,24,49,51.02,-0.005857142857142861,30.612244897959183
2351,23739,94961,35,17,52,67.31,0.02775769230769231,25.423076923076923
2352,3901,14099,19,14,33,57.58,0.015557575757575756,56.24242424242424
2353,5592,-2642,23,22,45,51.11,0.0008111111111111075,42.68888888888889
2354,15473,-102973,14,22,36,38.89,-0.03149444444444445,67.08333333333333
2355,9898,-15148,22,19,41,53.66,-0.0017048780487804872,42.90243902439025
2356,4132,-8982,15,15,30,50.0,-0.009139999999999997,73.3
2357,53737,-235737,15,18,33,45.45,-0.018018181818181815,75.51515151515152
2358,4883,-8483,23,29,52,44.23,0.0007923076923076894,27.03846153846154
2359,5505,22345,30,15,45,66.67,0.027406666666666663,34.266666666666666
2360,33730,102870,29,15,44,65.91,0.02609772727272727,38.13636363636363
2362,5184,3966,14,11,25,56.0,0.015108,97.6
2363,4016,-8426,26,24,50,52.0,-0.007862000000000001,33.94
2364,5657,-39107,19,30,49,38.78,-0.023697959183673473,24.142857142857142
2365,2590,-190,21,15,36,58.33,0.0053500000000000015,59.5
2367,4506,-15856,21,22,43,48.84,-0.008339534883720929,41.30232558139535
2368,10159,27781,33,17,50,66.0,0.020396,28.58
2369,3831,-10081,23,20,43,53.49,-0.002188372093023255,35.53488372093023
2371,5134,-10634,23,20,43,53.49,0.002651162790697673,37.41860465116279
2373,4471,25229,5,6,11,45.45,0.04411818181818181,290.3636363636364
2374,4211,10439,23,16,39,58.97,0.021548717948717943,48.23076923076923
2375,11178,-21508,24,21,45,53.33,0.013257777777777778,26.8
2376,17198,35702,26,17,43,60.47,0.01713488372093023,30.86046511627907
2377,21456,62294,26,14,40,65.0,0.024032500000000002,34.425
2379,55510,418190,32,9,41,78.05,0.054239024390243896,36.048780487804876
2380,2696,-7806,19,23,42,45.24,-0.017407142857142857,42.404761904761905
2382,11803,16997,16,13,29,55.17,0.011417241379310343,75.62068965517241
2383,35524,-106974,25,23,48,52.08,-0.004612499999999998,33.3125
2385,11561,37239,15,9,24,62.5,0.0218875,109.91666666666667
2387,8260,-17060,23,23,46,50.0,-0.0019934782608695663,36.45652173913044
2388,10438,10392,26,26,52,50.0,0.0019115384615384608,21.596153846153847
2390,5241,-21481,21,27,48,43.75,-0.015414583333333336,33.166666666666664
2392,8624,-624,19,16,35,54.29,0.008508571428571431,56.542857142857144
2393,9857,17093,21,15,36,58.33,0.018375,48.083333333333336
2395,62485,43515,23,16,39,58.97,0.012515384615384614,49.82051282051282
2397,10560,77490,22,9,31,70.97,0.04869677419354839,60.645161290322584
2399,4411,6729,27,22,49,55.1,0.018991836734693873,27.46938775510204
2401,5253,-1253,28,18,46,60.87,0.01854565217391304,33.84782608695652
2402,5364,6336,26,20,46,56.52,0.014239130434782607,34.19565217391305
2404,27504,112246,25,14,39,64.1,0.02726923076923077,48.282051282051285
2405,3204,-2304,24,18,42,57.14,0.007609523809523811,34.642857142857146
2406,5967,-13297,24,26,50,48.0,-0.014294000000000003,24.72
2408,17463,78187,26,23,49,53.06,0.17969387755102037,30.224489795918366
2409,3734,1936,24,20,44,54.55,0.011672727272727272,39.04545454545455
2412,6043,14357,5,4,9,55.56,0.019888888888888887,360.8888888888889
2413,6123,17557,31,23,54,57.41,0.025498148148148148,20.666666666666668
2414,3693,11157,18,9,27,66.67,0.03017037037037037,89.22222222222223
2415,6328,9572,27,19,46,58.7,0.016254347826086958,31.369565217391305
2417,5681,-16881,25,22,47,53.19,0.0053,35.148936170212764
2419,4773,-8803,19,21,40,47.5,-0.007544999999999999,48.8
2420,7046,-11646,16,15,31,51.61,-0.0044709677419354854,70.90322580645162
2421,9583,58417,28,13,41,68.29,0.039099999999999996,35.68292682926829
2423,3616,14084,18,8,26,69.23,0.025765384615384614,90.23076923076923
2424,7647,-23197,20,27,47,42.55,-0.008238297872340426,26.872340425531913
2425,6620,29280,25,15,40,62.5,0.0334525,36.975
