symbol,datetime,NaOb_r,NbOa_r,NaOb_s,NbOa_s,bid1,ask1,odd_bid1,odd_ask11,bidQty1,askQty1,odd_bidQty1,odd_ask1Qty1,triggerbyOdd
2615,2022-10-21 10:18:37.982128,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,27.0,3384.0,188.0,False
2615,2022-10-21 10:18:44.061017,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,28.0,3384.0,188.0,False
2615,2022-10-21 10:18:45.266990,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,25.0,3384.0,188.0,False
2615,2022-10-21 10:18:47.825700,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,25.0,3384.0,188.0,False
2615,2022-10-21 10:18:49.229239,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,27.0,3384.0,188.0,False
2615,2022-10-21 10:18:49.597140,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,16.0,27.0,3384.0,188.0,False
2615,2022-10-21 10:18:49.929171,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,17.0,27.0,3384.0,188.0,False
2615,2022-10-21 10:18:50.541118,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,27.0,3384.0,188.0,False
2615,2022-10-21 10:18:51.535051,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,26.0,3384.0,188.0,False
2615,2022-10-21 10:18:53.490570,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,26.0,3384.0,188.0,False
2615,2022-10-21 10:18:53.494579,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,25.0,3384.0,188.0,False
2615,2022-10-21 10:18:57.087298,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,25.0,3384.0,188.0,False
2615,2022-10-21 10:18:58.162293,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,25.0,3384.0,188.0,False
2615,2022-10-21 10:19:01.610517,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,18.0,20.0,3384.0,188.0,False
2615,2022-10-21 10:19:01.679003,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,20.0,3384.0,188.0,False
2615,2022-10-21 10:19:03.587817,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,20.0,3384.0,188.0,False
2615,2022-10-21 10:19:08.698669,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,20.0,3384.0,188.0,True
2615,2022-10-21 10:19:15.461703,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,20.0,3384.0,188.0,False
2615,2022-10-21 10:19:15.916328,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,22.0,3384.0,188.0,False
2615,2022-10-21 10:19:18.728752,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,22.0,3384.0,288.0,True
2615,2022-10-21 10:19:26.064426,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,22.0,3384.0,288.0,False
2615,2022-10-21 10:19:27.114299,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,22.0,3384.0,288.0,False
2615,2022-10-21 10:19:27.378941,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,23.0,3384.0,288.0,False
2615,2022-10-21 10:19:31.503816,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,24.0,3384.0,288.0,False
2615,2022-10-21 10:19:31.535268,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,24.0,3384.0,288.0,False
2615,2022-10-21 10:19:35.905576,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,24.0,3384.0,288.0,False
2615,2022-10-21 10:19:36.830457,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,24.0,3384.0,288.0,False
2615,2022-10-21 10:19:37.300379,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,29.0,3384.0,288.0,False
2615,2022-10-21 10:19:37.450716,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,21.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:19:37.454001,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:19:38.150790,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:19:38.784726,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,32.0,3384.0,288.0,True
2615,2022-10-21 10:19:38.917562,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,33.0,3384.0,288.0,False
2615,2022-10-21 10:19:42.327159,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,34.0,3384.0,288.0,False
2615,2022-10-21 10:19:44.623380,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,22.0,35.0,3384.0,288.0,False
2615,2022-10-21 10:19:44.901445,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,20.0,33.0,3384.0,288.0,False
2615,2022-10-21 10:19:45.304232,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,20.0,33.0,3384.0,288.0,False
2615,2022-10-21 10:19:52.629838,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,20.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:19:53.603120,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,19.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:19:53.681650,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,19.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:19:53.681999,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,19.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:19:58.349214,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,17.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:20:00.945766,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:20:01.096301,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:02.298230,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,15.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:02.734637,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,16.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:03.159471,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,19.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:03.209985,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,29.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:05.625252,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,29.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:09.905735,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,29.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:10.706561,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,30.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:11.128524,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,30.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:20:11.840240,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,30.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:20:12.659027,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,32.0,3384.0,288.0,False
2615,2022-10-21 10:20:12.702812,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,31.0,3384.0,288.0,False
2615,2022-10-21 10:20:13.963694,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:14.155317,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:20:18.836700,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:20:23.761920,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:26.019951,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,31.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:28.574083,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:30.061959,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:30.117406,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:30.149752,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:32.735431,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:32.736232,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:32.737053,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,36.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:32.776933,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,36.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:46.744767,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:47.441116,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:49.222664,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,50.0,3384.0,288.0,True
2615,2022-10-21 10:20:49.569867,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:20:51.338801,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:20:52.750951,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:20:55.928141,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:20:56.224757,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:21:04.591447,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:08.043044,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:21:10.566346,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:21:11.979183,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:21:12.286001,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,53.0,3384.0,288.0,False
2615,2022-10-21 10:21:14.762338,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:15.756092,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:17.851321,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:19.361658,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,38.0,52.0,3384.0,288.0,True
2615,2022-10-21 10:21:25.499165,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:26.351147,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,53.0,3384.0,288.0,False
2615,2022-10-21 10:21:29.744361,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,53.0,3384.0,288.0,False
2615,2022-10-21 10:21:29.806334,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:37.796563,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,52.0,3384.0,288.0,False
2615,2022-10-21 10:21:38.777548,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,51.0,3384.0,288.0,False
2615,2022-10-21 10:21:40.510463,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:21:46.719228,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,288.0,False
2615,2022-10-21 10:21:49.477455,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,True
2615,2022-10-21 10:21:49.696738,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:50.588120,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:50.649179,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,37.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:52.703857,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:55.326938,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,49.0,3384.0,438.0,False
2615,2022-10-21 10:21:55.604176,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:55.605743,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,50.0,3384.0,438.0,False
2615,2022-10-21 10:21:59.566978,-0.002962962962963056,0.0,-0.20000000000000284,0.0,67.4,67.5,67.3,67.4,35.0,51.0,3384.0,438.0,False
