Date,Method,Tickers
2020-11-20,VolumeWithMACD_EMA67_23_VOL5,"['3594', '6155', '5011', '8069', '3363']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL5_67,"['6155', '5011', '8069', '3594', '3363']"
2020-11-20,VolumeWithMACD_EMA67_23_VOL67,"['8086', '2337', '3594', '3479', '6426', '6155', '5011', '8069', '3363']"
2020-11-24,TOWERWithMACD,"['8109', '4943', '4924', '6592', '4934', '3044', '6573', '3521', '3576', '1524', '3018', '5321', '3512', '6679', '2406', '4126', '6506', '00757', '3346', '1444']"
2020-11-24,TOWERWithMACD_EMA23,"['4943', '6592', '3044', '1524', '00757']"
2020-11-24,TOWERWithMACD_EMA67,"['6592', '3044', '3576', '1524', '2406', '00757', '3346']"
2020-11-24,TOWERWithMACD_EMA67_23,"['00757', '6592', '1524', '3044']"
2020-11-24,VolumeWithMACD,"['00746B', '6285', '6470', '6432', '3537', '3630', '8109', '2332', '8431', '00789B', '2478', '00784B', '4139', '6205', '8043', '3088', '00741B', '8931', '6155', '6207', '3016', '3707', '3236', '2314', '6465', '5386', '2368', '4946', '6175', '4580', '6461', '00761B', '6592', '2031']"
2020-11-24,VolumeWithMACD_EMA67_23,"['6285', '6470', '3630', '2332', '8431', '2478', '4139', '6205', '8043', '8931', '6207', '3707', '3236', '2368', '6175', '00761B', '6592', '2031']"
2020-11-24,VolumeWithMACD_EMA67_23_VOL5,"['6285', '6470', '3630', '2332', '8431', '2478', '6205', '8043', '6207', '3707', '3236', '2368', '6175', '00761B', '2031']"
2020-11-24,VolumeWithMACD_EMA67_23_VOL5_67,"['6285', '3630', '6205', '6207', '6470', '2478', '3707', '2368', '6175', '00761B', '8043', '2031', '2332', '8431', '3236']"
2020-11-24,VolumeWithMACD_EMA67_23_VOL67,"['6285', '6470', '3630', '2332', '8431', '2478', '6205', '8043', '8931', '6207', '3707', '3236', '2368', '6175', '00761B', '6592', '2031']"
2020-11-25,TOWERWithMACD,"['3219', '5512', '1464', '2719', '2520', '4721', '8473', '4729', '2013', '6496', '4162', '2537', '6477', '1589', '1475', '4931', '2413', '3646', '2008', '3217', '8440', '2630', '2491']"
2020-11-25,TOWERWithMACD_EMA23,"['5512', '4721', '2013', '6477', '1589', '4931', '2413']"
2020-11-25,TOWERWithMACD_EMA67,"['3219', '5512', '2013', '6477', '1589', '1475', '2413', '3646', '2008', '2491']"
2020-11-25,TOWERWithMACD_EMA67_23,"['2013', '6477', '1589', '2413', '5512']"
2020-11-25,VolumeWithMACD,"['4745', '6568', '3217', '4139', '2013', '1201', '2388', '8431', '6209', '6171', '3059', '4760', '2498', '2603', '6465', '5530', '1784', '4175', '3086', '3537', '6147', '4162', '4933', '6127', '2002', '2606', '3025', '6288', '4721']"
2020-11-25,VolumeWithMACD_EMA67_23,"['4139', '2013', '1201', '2388', '6209', '2498', '2603', '4175', '3537', '4933', '2002', '2606', '3025']"
2020-11-25,VolumeWithMACD_EMA67_23_VOL5,"['4139', '2013', '1201', '2388', '6209', '4175', '3537', '2002', '2606']"
2020-11-25,VolumeWithMACD_EMA67_23_VOL5_67,"['4139', '6209', '2606', '2013', '4175', '3537', '2388', '1201', '2002']"
2020-11-25,VolumeWithMACD_EMA67_23_VOL67,"['4139', '2013', '1201', '2388', '6209', '2498', '2603', '4175', '3537', '4933', '2002', '2606', '3025']"
2020-11-26,DayTrade_by_Queen,"['1568', '2009', '2388', '2506', '2617', '3037', '3050', '3189', '3228', '3288', '3518', '3521', '3625', '3630', '4931', '5245', '5468', '5531', '6485', '6560', '8046', '8089']"
2020-11-26,TOWERWithMACD,"['3489', '5538', '2358', '2070', '1909', '2460', '1108', '4541', '6456', '4907', '3379', '8121', '8222', '3492', '00654R']"
2020-11-26,TOWERWithMACD_EMA23,"['1909', '2460', '4907', '8222', '3492']"
2020-11-26,TOWERWithMACD_EMA67,"['1909', '2460', '1108', '4907', '3379', '8121', '8222']"
2020-11-26,TOWERWithMACD_EMA67_23,"['2460', '1909', '8222', '4907']"
2020-11-26,VolumeWithMACD,"['5388', '3083', '6205', '3630', '3645', '3317', '5522', '4580', '2314', '5356', '3217', '6182', '5245', '6456', '2388', '3518', '6547', '4931', '4907', '3615', '6197', '2413', '3037', '8089', '8415', '4721']"
2020-11-26,VolumeWithMACD_EMA67_23,"['5388', '3083', '3630', '3645', '5522', '5356', '3217', '6182', '5245', '2388', '3518', '4907', '2413', '3037', '8089', '8415']"
2020-11-26,VolumeWithMACD_EMA67_23_VOL5,"['5388', '3630', '3645', '5522', '3217', '5245', '2388', '3518', '4907', '2413', '3037', '8089', '8415']"
2020-11-26,VolumeWithMACD_EMA67_23_VOL5_67,"['3217', '5388', '3630', '3518', '8415', '5245', '2388', '2413', '3037', '5522', '4907']"
2020-11-26,VolumeWithMACD_EMA67_23_VOL67,"['5388', '3083', '3630', '5522', '5356', '3217', '6182', '5245', '2388', '3518', '4907', '2413', '3037', '8415']"
2020-11-27,DayTrade_by_Queen,"['1568', '2538', '2547', '5301', '5432', '5468']"
2020-11-27,TOWERWithMACD,"['1532', '2740', '4552', '3432', '3673', '5521', '6116', '8454', '2365', '8033', '3564', '4128', '8374', '5432', '4113', '5529', '5488', '2530', '3046', '1526', '3290', '8087', '4562', '6248', '6128', '3465', '5381', '2371', '8289', '6224', '6165', '1504', '6158']"
2020-11-27,TOWERWithMACD_EMA23,"['2740', '6116', '2365', '8374', '5432', '3046', '3290', '4562', '3465', '5381', '6158']"
2020-11-27,TOWERWithMACD_EMA67,"['1532', '2740', '5521', '6116', '2365', '8033', '8374', '5432', '5529', '5488', '1526', '3290', '3465', '5381', '2371', '6224', '1504', '6158']"
2020-11-27,TOWERWithMACD_EMA67_23,"['2740', '2365', '6158', '5381', '3290', '3465', '5432', '6116', '8374']"
2020-11-27,VolumeWithMACD,"['3537', '2104', '6288', '8089', '5356', '3707', '3615', '8046', '3163', '00864B', '1568', '2498', '3535', '00784B', '3325', '2520', '4721', '2606', '4933', '2303', '1784', '2449', '2458', '1513', '8261', '4803', '1717', '4943', '6209', '00694B', '5388', '2596', '2006', '5392', '00719B', '3630', '00860B', '2615', '4126', '8048', '3564', '4722', '3217', '2421', '2221', '3228', '3025', '3189', '00879B', '3211', '6560', '3693', '2603', '6171', '6485', '8043', '6182', '5432', '6205', '2505', '4152', '6177', '4580', '4171', '8112', '3213', '6233', '4931', '5223', '8415', '6465', '4726', '4162', '6282', '8038', '2332', '6269', '00791B', '8284', '00872B', '2314', '3362', '8472', '3089', '2353', '00734B', '3689', '6456', '3441', '6279', '6470', '3037', '6446', '6170', '5245', '3518', '2441', '6186', '00849B', '8410', '00846B', '4907', '00741B', '3490', '2031', '4961', '00727B', '6461', '2388']"
2020-11-27,VolumeWithMACD_EMA67_23,"['8046', '1568', '3535', '2606', '4933', '2449', '1513', '4943', '2596', '2006', '3630', '2615', '8048', '4722', '3025', '3211', '2603', '8043', '6182', '5432', '2505', '6177', '8112', '3213', '6233', '4931', '6465', '6282', '2332', '8284', '2314', '3362', '8472', '3689', '3441', '6279', '6470', '3518', '2441', '6186', '4907', '3490', '4961']"
2020-11-27,VolumeWithMACD_EMA67_23_VOL5,"['8046', '1568', '3535', '2606', '4933', '2449', '1513', '4943', '2596', '2006', '3630', '2615', '8048', '4722', '3025', '3211', '2603', '8043', '6182', '5432', '2505', '6177', '8112', '3213', '6233', '4931', '6465', '6282', '2332', '8284', '2314', '3362', '8472', '3689', '3441', '6279', '6470', '3518', '2441', '6186', '4907', '3490', '4961']"
2020-11-27,VolumeWithMACD_EMA67_23_VOL5_67,"['2006', '8112', '8046', '6182', '4933', '2606', '2441', '6186', '3213', '2314', '5432', '3362', '4961', '2332', '2615', '3441', '6233', '2449', '6279', '2505', '8472', '6470', '1568', '3535', '4931', '3025', '3518', '6282', '6177', '4907', '8048', '8284', '4943', '3630', '3211', '4722', '2603', '8043', '1513', '6465', '3689', '3490', '2596']"
